time,speed,accel,event_type,event_id,seq,s_s_num,trip_event_id,driver_id,trip_id
3119,1.484375,-0.0696,stop,4,33,2,4,2,1
3120,1.375868,-0.0319,stop,4,34,2,4,2,1
3121,1.297743,-0.0348,stop,4,35,2,4,2,1
3122,1.210938,-0.058,stop,4,36,2,4,2,1
3123,1.141493,-0.0609,stop,4,37,2,4,2,1
3124,1.067708,-0.0435,stop,4,38,2,4,2,1
3125,0.985243,-0.0319,stop,4,39,2,4,2,1
3126,0.902778,-0.029,stop,4,40,2,4,2,1
3127,0.842014,-0.029,stop,4,41,2,4,2,1
3128,0.77691,-0.0319,stop,4,42,2,4,2,1
3129, ,-0.0377,stop,4,43,2,4,2,1
3130,0.564236,-0.0406,stop,4,44,2,4,2,1
3131,0.520833,-0.0406,stop,4,45,2,4,2,1
3132,0.442708,-0.0435,stop,4,46,2,4,2,1
3133,0.31684,-0.0406,stop,4,47,2,4,2,1
3134,0.212674,-0.0406,stop,4,48,2,4,2,1
3135,0.130208,-0.0435,stop,4,49,2,4,2,1
3136,0,-0.0406,stop,4,50,2,4,2,1
3550,0.703125,0.2291,start,5,1,3,5,2,1
3551,0.907118,0.2813,start,5,2,3,5,2,1
3552,1.141493,0.3161,start,5,3,3,5,2,1
3553,1.440972,0.3393,start,5,4,3,5,2,1
3554,1.72309,0.3277,start,5,5,3,5,2,1
3555,1.966146,0.2755,start,5,6,3,5,2,1
3556,2.157118,0.2088,start,5,7,3,5,2,1
3557,2.313368,0.1595,start,5,8,3,5,2,1
3558,2.443577,0.1102,start,5,9,3,5,2,1
3559,2.526042,0.0957,start,5,10,3,5,2,1
3560,2.604167,0.1044,start,5,11,3,5,2,1
3561,2.669271,0.1218,start,5,12,3,5,2,1
3562,2.773438,0.1566,start,5,13,3,5,2,1
3563,2.886285,0.1769,start,5,14,3,5,2,1
3564,3.007813,0.1624,start,5,15,3,5,2,1
3565,3.125,0.1566,start,5,16,3,5,2,1
3566,3.211806,0.1218,start,5,17,3,5,2,1
3567,3.27257,0.0986,start,5,18,3,5,2,1
3568,3.324653,0.0812,start,5,19,3,5,2,1
3569,3.368056,0.0696,start,5,20,3,5,2,1
3570,3.398438,0.0638,start,5,21,3,5,2,1
3571,3.44184,0.0551,start,5,22,3,5,2,1
3572,3.511285,0.0725,start,5,23,3,5,2,1
