System.Time_Stamp,vtti.timestamp,FOT_Control.Speed,Head_Unit.Longitude,Head_Unit.Latitude,Head_Unit.MSL_Altitude,IMU.Gyro_X,IMU.Gyro_Y,IMU.Gyro_Z,IMU.Accel_X,IMU.Accel_Y,IMU.Accel_Z
165,18100,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
166,18199,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
167,18300,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
168,18400,0, , , ,-0.325195,0,0,0.0029,-0.0087,-0.9918
169,18500,0, , , , , , ,0.0029,-0.0058,-0.9889
170,18599,0, , , ,0.975586,0,-0.325195,0.0029,-0.0087,-0.9918
171,18700,0, , , ,-0.325195,-0.325195,0,0.0058,-0.0087,-0.9918
172,18799,0,121.501411,31.286814,141,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
173,18900,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9947
174,18999,0, , , ,-0.325195,0,-0.325195,0.0058,-0.0058,-0.9918
175,19100,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9889
176,19199,0, , , ,-0.325195,-0.325195,-0.325195,0.0058,-0.0058,-0.9918
177,19300,0, , , ,-0.325195,0,-0.325195,0.0058,-0.0058,-0.9918
178,19400,0, , , ,0,0,-0.325195,0.0029,-0.0058,-0.9889
179,19500,0, , , , , , ,0.0029,-0.0058,-0.9918
180,19599,0, , , ,-0.325195,0,-0.325195,0.0058,-0.0087,-0.9947
181,19700,0, , , ,0,0,0,0.0029,-0.0058,-0.9889
182,19799,0,121.501411,31.286921,141,0,0,-0.325195,0.0029,-0.0058,-0.9889
183,19900,0, , , ,-0.650391,0,-0.325195,0.0029,-0.0087,-0.9918
184,19999,0, , , ,-0.650391,0,-0.325195,0.0029,-0.0058,-0.9918
185,20100,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9918
186,20199,0, , , ,-0.325195,-0.650391,-0.650391,0.0029,-0.0058,-0.9889
187,20300,0, , , ,-0.325195,0,0,0.0029,-0.0058,-0.9918
188,20400,0, , , ,0,-0.325195,-0.325195,0.0058,-0.0058,-0.9918
189,20500,0, , , , , , ,0.0029,-0.0058,-0.9889
190,20599,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0058,-0.9889
191,20700,0, , , ,-0.650391,-0.325195,-0.325195,0.0029,-0.0087,-0.9889
192,20799,0,121.501495,31.286869,141,-0.325195,0,0,0.0058,-0.0058,-0.9918
193,20900,0, , , ,-0.325195,0,-0.325195,0.0029,-0.0087,-0.9918
